FALLBACK: Unknown VHS.|Good taste.
DR-SEUSSS-THE-5000-FINGERS-OF-DOCTOR-T: Dr Seusss The 5000 Fingers Of Doctor T.|Live action Seuss. Genuinely strange film.
DRAGONSLAYER: Dragonslayer.|Dark Disney fantasy. Surprisingly good.
DRIVING-FORCE: Driving Force.|Post-apocalypse trucking. Australia.
DUCK-TALES-DUCK-TO-THE-FUTURE: Duck Tales Duck To The Future.|DuckTales time travel. Good episode.
DUCK-TALES-HIGH-FLYING-HERO: Duck Tales High Flying Hero.|Launchpad gets his moment.
DUCK-TALES-LITTLE-DUCKAROOS: Duck Tales Little Duckaroos.|Western themed episode.
DUCK-TALES-LOST-WORLD-WANDERERS: Duck Tales Lost World Wanderers.|Adventure episode. Good stuff.
DUMBO-WALT-DISNEY-THE-CLASSICS: Dumbo Walt Disney The Classics.|Dumbo. Still gets me.
DUMBO-WALT-DISNEY-THE-CLASSICS-VERSION-2: Dumbo Walt Disney The Classics Version 2.|Same film, later release.
DUNCAN-THE-MAGIC-DRAGON-MIGHTY-MACHINES: Duncan The Magic Dragon Mighty Machines.|Never heard of that one.
EARTHWORM-JIM-BRING-ME-THE-HEAD-OF-JIM: Earthworm Jim Bring Me The Head Of Jim.|Great cartoon. Very weird.
EAST-LA-WARRIORS: East La Warriors.|Urban action. Fine for what it is.
EASTER-CLASSICS-VOLUME-3-SHOW-ME-A-STORY: Easter Classics Volume 3 Show Me A Story.|Easter for the kids.
EL-COLOSO-EN-LLAMAS: El Coloso En Llamas.|The Towering Inferno in Spanish. Same movie.
EL-JUES-DE-LA-SOGA: El Jues De La Soga.|Spanish western. Never seen it.
EL-REGRESO-DEL-NINJA: El Regreso Del Ninja.|Return of the Ninja. In Spanish.
EL-RETORNO-DE-JAFAR: El Retorno De Jafar.|Return of Jafar. The direct-to-video Disney sequel.
ELIMINATOR: Eliminator.|The name says it all.
ELIMINATORS: Eliminators.|Ninja. Soldier. Caveman. Mandroid. One team. Perfect.
EM-BUSCA-DA-ESCRITURA-SAGRADA: Em Busca Da Escritura Sagrada.|Portuguese title. Never heard of it.
EMMET-OTTERS-JUG-BAND-CHRISTMAS: Emmet Otters Jug Band Christmas.|Jim Henson. Beautiful little special.
EPCOT-CENTER-A-SOUVENIR-PROGRAM-WALT-DISNEY-WORLD: Epcot Center A Souvenir Program Walt Disney World.|You bought this at EPCOT probably.
EPIC-DAYS-OF-THE-DINOSAURS: Epic Days Of The Dinosaurs.|Documentary stuff.
ERNIES-LITTLE-LIE-AND-OTHER-STORIES: Ernies Little Lie And Other Stories.|Sesame Street adjacent.
ESCAPE-2000: Escape 2000.|Italian dystopia. Bronx Warriors sequel territory.
EVE-OF-DESTRUCTION: Eve Of Destruction.|Renee Soutendijk as a robot. Pretty fun.
EVEN-MORE-BABY-SONGS: Even More Baby Songs.|More songs for more babies.
EXCALIBUR: Excalibur.|John Boorman. Incredible film. Essential.
EXCESSIVE-FORCE: Excessive Force.|Thomas Ian Griffith. Pretty solid action.
EXCESSIVE-FORCE-2: Excessive Force 2.|Direct-to-video sequel. Passable.
EXTERMINATOR-2: Exterminator 2.|Flamethrower in New York. The eighties, baby.
EXTERMINATORS-OF-THE-YEAR-3000: Exterminators Of The Year 3000.|Italian post-apocalypse. Mad Max knockoff. Not bad.
EXTREME-PREJUDICE-NICK-NOLTE: Extreme Prejudice Nick Nolte.|Walter Hill action. Very good.
EYE-OF-THE-EAGLE: Eye Of The Eagle.|Filipino action. Roger Corman production.
FAERIE-TALE-THEATRE-THE-TALE-OF-THE-FROG-PRINCE: Faerie Tale Theatre The Tale Of The Frog Prince.|Shelley Duvall's show. Great series.
FAIRY-TALES-AND-FABLES-PRESENTS-THE-UGLY-DUCKLING: Fairy Tales And Fables Presents The Ugly Duckling.|Classic story.
FANTASY-MISSION-FORCE-JACKIE-CHAN: Fantasy Mission Force Jackie Chan.|Early Jackie Chan. Bizarre film.
FATAL-DIAMONDS: Fatal Diamonds.|Never heard of it.
FEAR-IN-THE-CITY: Fear In The City.|Italian crime. Maurizio Merli.
FELIX-THE-CAT-THE-MOVIE: Felix The Cat The Movie.|The Felix Cat movie. Genuinely strange.
FEMALE-MERCENARIES-2: Female Mercenaries 2.|Exactly what the title promises.
FER-DE-LANCE-DAVID-JANSSEN: Fer De Lance David Janssen.|Submarine snake thriller. Seventies TV movie.
FILMATION-GHOSTBUSTERS-A-GHOUL-IN-EVERY-PORT: Filmation Ghostbusters A Ghoul In Every Port.|The OTHER Ghostbusters. Confusing.
FINAL-JUSTICE-VESTRON-VIDEO-INTERNATIONAL-MST3K: Final Justice Vestron Video International Mst3K.|MST3K'd this one. Not a compliment.
FINAL-MISSION-JAPAN: Final Mission Japan.|Action in Japan. Low budget stuff.
FINAL-SCORE: Final Score.|Never quite sure what sport.
FIRE-AND-RAIN: Fire And Rain.|Drama. Slow burn.
FIRE-FIGHT: Fire Fight.|Firefighters or fistfights. Hard to say.
FIREBIRD-2015-AD: Firebird 2015 Ad.|Future car chase stuff. Pretty fun.
FIREHOUSE-FOLLIES-STARRING-GABBY: Firehouse Follies Starring Gabby.|Old cartoons with Gabby. Very old school.
FIREWALKER: Firewalker.|Chuck Norris and Lou Gossett Jr. Adventure stuff.
FIRST-COMMANDER: First Commander.|Military action. Never heard of that specific one.
FIST-OF-THE-GOLDEN-MONKEY: Fist Of The Golden Monkey.|Kung fu. Classic setup.
FISTS-OF-STEEL: Fists Of Steel.|More martial arts. I respect the commitment.
FIVE-FOR-HELL: Five For Hell.|Spaghetti war film. Five guys. Hell. Simple.
FLASH-FUTURE-KUNG-FU: Flash Future Kung Fu.|Hong Kong kung fu. Future setting.
FONG-SAI-YUK-2: Fong Sai Yuk 2.|Jet Li sequel. Pretty great.
FOR-THE-LOVE-OF-BENGI: For The Love Of Bengi.|Benji sequel. The dog returns.
FORCED-VENGEANCE: Forced Vengeance.|Chuck Norris in Hong Kong. Good one.
FOX-TRAP: Fox Trap.|Fred Williamson. Never stops working.
FOXY-BROWN: Foxy Brown.|Pam Grier. Absolute icon.
FRAGGLE-ROCK-WHERE-IT-ALL-BEGAN: Fraggle Rock Where It All Began.|Jim Henson magic. Start from the beginning.
FRANCE-FIVE: France Five.|French Super Sentai fan film. That's specific.
FREEFALL: Freefall.|Action thriller. Decent.
FREEJACK: Freejack.|Emilio Estevez. Mick Jagger in a dystopia. You read that right.
FROM-HELL-TO-VICTORY: From Hell To Victory.|WWII ensemble. International cast.
FUNERAL-FOR-AN-ASSASSIN: Funeral For An Assassin.|Great title. The movie earns it.
FUNLAND: Funland.|Dark comedy. Oddly disturbing.
FUNNY-STORIES-VOLUME-THREE: Funny Stories Volume Three.|Third volume of funny stories.
FURRY-ANIMALS-EDUCATIONAL-FAVORITES: Furry Animals Educational Favorites.|For very young kids.
FURY-OF-THE-CONGO: Fury Of The Congo.|Weissmuller again. Jungle stuff.
FUSE-THE-VIDEO-GAME-MAGAZINE-OF-THE-FUTURE-SONIC-ADVENTURE-LIVE-FROM-TOKYO: Fuse The Video Game Magazine Of The Future Sonic Adventure Live From Tokyo.|Video game content. Very nineties.
FUTURE-HUNTERS: Future Hunters.|Time travel. Post-apocalypse. Spear of Destiny. A lot happening.
FUTUREKICK: Futurekick.|Kickboxing in the future. Sure.
G-WHILLIKER: G Whilliker.|Never heard of that one.
GALAXY-HIGH-WELCOME-TO-GALAXY-HIGH: Galaxy High Welcome To Galaxy High.|Short-lived cartoon. Had potential.
GALLAVANTS: Gallavants.|Ants on a quest. Animated. Pretty obscure.
GARY-LARSONS-TALES-FROM-THE-FAR-SIDE-1-AND-2: Gary Larsons Tales From The Far Side 1 And 2.|Far Side animated specials. Underrated.
GENTLE-SAVAGE: Gentle Savage.|Western. William Smith. Pretty rough film actually.
GEORGE-HAMILTON-STARS-IN-EVEL-KNIEVEL: George Hamilton Stars In Evel Knievel.|George Hamilton as Evel. It's a thing.
GHOST-CHASE: Ghost Chase.|German comedy horror. Not bad.
GHOST-WARRIOR: Ghost Warrior.|Samurai frozen for 400 years wakes up in LA. Beautiful premise.
GI-JOE-CAPTIVES-OF-COBRA: Gi Joe Captives Of Cobra.|GI Joe. Cobra. Good versus evil.
GI-JOE-DEADLY-LIES: Gi Joe Deadly Lies.|More GI Joe. Stakes are high.
GI-JOE-EL-DORADO: Gi Joe El Dorado.|Adventure episode. GI Joe finds treasure.
GI-JOE-WORLDS-WITHOUT-END: Gi Joe Worlds Without End.|Good episode. Parallel dimension stuff.
GIRLS-IN-PRISON: Girls In Prison.|Women in prison film. Not subtle.
GODZILLA-CARTOON-THE-FIRE-BIRD-HANNA-BARBERA-PRESENTS: Godzilla Cartoon The Fire Bird Hanna Barbera Presents.|Hanna-Barbera Godzilla. Has a son named Godzooky.
GODZILLA-VS-GIGAN: Godzilla Vs Gigan.|Classic Toho. Space cockroaches. Don't question it.
GODZILLA-VS-MEGALON: Godzilla Vs Megalon.|Jet Jaguar shows up. The best kind of nonsense.
GOODBYE-FRIEND: Goodbye Friend.|Italian thriller. Claudia Cardinale. Good.
GOOF-TROOP-BANDING-TOGETHER: Goof Troop Banding Together.|Good show. Goofy and Max. Nice dynamic.
GOOF-TROOP-GOIN-FISHIN: Goof Troop Goin Fishin.|Fishing episode. Classic Goofy content.
GUMBY-FOR-PRESIDENT: Gumby For President.|Gumby runs for president. Clay animation.
GUMBY-MAGIC: Gumby Magic.|More Gumby. The man knows what he is.
GUNMEN: Gunmen.|Christopher Lambert. Mario Van Peebles. Buddy action.
GWENDOLINE: Gwendoline.|French adventure. Pretty wild.
HAMBURGER-HILL: Hamburger Hill.|Vietnam War. One of the serious ones.
HANDS-OF-DEATH: Hands Of Death.|Kung fu revenge. Works every time.
HANNA-BARBERA-CARTOON-CLASSICS: Hanna Barbera Cartoon Classics.|Saturday morning gold.
HANNA-BARBERA-FRIENDS-SING-A-LONG: Hanna Barbera Friends Sing A Long.|Singing with the Hanna-Barbera crew.
HANNA-BARBERA-SUPERSTARS-BEDROCK-WEDLOCK: Hanna Barbera Superstars Bedrock Wedlock.|Flintstones. A wedding. Classic.
HANNA-BARBERAS-CHRISTMAS-SING-A-LONG: Hanna Barberas Christmas Sing A Long.|Christmas with the whole Hanna-Barbera gang.
HANSEL-AND-GRETEL: Hansel And Gretel.|Classic fairy tale. Good for the kids.
HARRY-POTTER-WITCHCRAFT-REPACKAGED-MAKING-EVIL-LOOK-INNOCENT: Harry Potter Witchcraft Repackaged Making Evil Look Innocent.|That is a very specific title.
HE-LIVES-THE-SEARCH-FOR-THE-EVIL-ONE: He Lives The Search For The Evil One.|Christian horror. Antichrist stuff.
HELL-HUNTERS: Hell Hunters.|Stewart Granger. Nazi hunting in South America.
HELL-RAIDERS: Hell Raiders.|War action. Low budget but committed.
HELLS-BRIGADE: Hells Brigade.|WWII men on a mission. Standard issue.
HERCULE-LOU-FERRIGNO: Hercule Lou Ferrigno.|Lou Ferrigno as Hercules. He fits the role physically.
HERCULES-AGAINST-THE-MOON-MEN: Hercules Against The Moon Men.|Italian peplum. Moon men. Probably worth it.
HERES-GOOFY-WALT-DISNEY-CARTOON-CLASSICS: Heres Goofy Walt Disney Cartoon Classics.|Classic Goofy shorts. Gold.
HERMAN-AND-CATNIP-NAUGHTY-BUT-MICE: Herman And Catnip Naughty But Mice.|Old Terrytoons. Very old school.
HEY-ARNOLD-THE-HELGA-STORIES: Hey Arnold The Helga Stories.|Helga gets her own episode. About time.
HEY-CINDERELLA-MUPPET-HOME-VIDEO: Hey Cinderella Muppet Home Video.|Muppet version of Cinderella. Lovely.
HEY-VERN-ITS-ERNEST-PETS: Hey Vern Its Ernest Pets.|Ernest loves pets. Ernest loves everything.
HIGH+SCHOOL+USA: High+School+Usa.|Teen comedy. Pretty eighties.
HIGHLIGHTS-OFWRESTLE-MANIA-WWF: Highlights Ofwrestle Mania Wwf.|Wrestling highlights. The early stuff.
HIT-LIST: Hit List.|Jan-Michael Vincent. Action thriller. Decent.
HOLIDAY-CARTOON-FESTIVAL: Holiday Cartoon Festival.|Holiday cartoons comp. Fine for what it is.
HOLLY-HUNTER-READS-THE-THREE-BILLY-GOATS-GRUFF: Holly Hunter Reads The Three Billy Goats Gruff.|Holly Hunter reads a book on tape. Sure.
HOSTILE-TAKEOVER-IVE-ENTERTAINMENT: Hostile Takeover Ive Entertainment.|Corporate thriller. Michael Ironside.
HOT-POTATO: Hot Potato.|Kung fu comedy with Jim Kelly. Pretty fun.
HOUR-OF-THE-ASSASSIN: Hour Of The Assassin.|Erik Estrada. Action in South America.
HOW-THE-RHINOCEROS-GOT-HIS-SKIN-AND-HOW-THE-CAMEL-GOT-HIS-HUMP: How The Rhinoceros Got His Skin And How The Camel Got His Hump.|Kipling adaptations. Nicely done.
HOW-TO-RAISE-A-STREET-SMART-CHILD: How To Raise A Street Smart Child.|Safety tape for parents.
HULK-HOGAN-IS-MR-NANNY: Hulk Hogan Is Mr Nanny.|Hulk Hogan as a babysitter. He commits fully.
HULK-HOGANS-ALL-TIME-CHAMP: Hulk Hogans All Time Champ.|Hogan career highlights. The man is a legend.
HULK-HOGANS-ROCK-N-WRESTLIN-GHOST-WRESTLERS: Hulk Hogans Rock N Wrestlin Ghost Wrestlers.|Halloween episode. Cartoons and wrestling.
HULK-HOGANS-ROCK-N-WRESTLIN-THE-FOUR-LEGGED-PICKPOCKET: Hulk Hogans Rock N Wrestlin The Four Legged Pickpocket.|The one with the dog.
HULK-HOGANS-ROCK-N-WRESTLIN-THE-WRONG-STUFF-AND-THREE-LITTLE-HULKS: Hulk Hogans Rock N Wrestlin The Wrong Stuff And Three Little Hulks.|Three Little Pigs. Wrestling style.
HUNTED: Hunted.|Tommy Lee Jones. Benicio del Toro. Survival thriller.
HUNTERS-BLOOD: Hunters Blood.|Deliverance type stuff. Survivalist horror.
HURRICANES-DEEP-COVER: Hurricanes Deep Cover.|Soccer cartoon spy episode. That's a sentence I said.
I-SAW-SUBMARINES-ATTACK-AMERICA: I Saw Submarines Attack America.|Propaganda? Documentary? Both?
I-WISH-I-WERE-A-COWBOY: I Wish I Were A Cowboy.|Kids stuff. Cowboys.
IL-MAGO-DI-OZ: Il Mago Di Oz.|Wizard of Oz in Italian.
IMAGINE-THAT-GREAT-MOMENTS-AND-PEOPLE-IN-HISTORY-VOLUME-1: Imagine That Great Moments And People In History Volume 1.|Educational. Fine.
IN-N-OUT-BORDERLINE-INSANITY: In N Out Borderline Insanity.|No idea what this is.
INHUMANOIDS-THE-EVIL-THAT-LIES-WITHIN: Inhumanoids The Evil That Lies Within.|Creepy monster cartoon. Underrated.
INSPECTOR-GADGET-MAGIC-GADGET: Inspector Gadget Magic Gadget.|Gadget. Brain does the work. Kids love it.
INSPECTOR-GADGET-THE-CAPEMAN-COMETH: Inspector Gadget The Capeman Cometh.|Capeman episode. Classic villain.
INSTANT-RAGE-NINJA-COLLECTION: Instant Rage Ninja Collection.|Ninja tape compilation.
IRON+WARRIOR: Iron+Warrior.|Miles O'Keeffe. Sword and sorcery. Pretty rough.
IRON-ANGELS-2: Iron Angels 2.|Hong Kong action girls. Pretty entertaining.
ITS-GRINCH-NIGHT: Its Grinch Night.|Sequel to the Grinch special. Weird atmosphere.
ITS-THE-GIRL-IN-THE-RED-TRUCK-CHARLIE-BROWN: Its The Girl In The Red Truck Charlie Brown.|Peanuts. Live action meets animation. Odd one.
Its-Punky-Brewster-Cartoon-Winning-Isnt-Everything: Its Punky Brewster Cartoon Winning Isnt Everything.|Punky Brewster. Very eighties.
IVANHOE: Ivanhoe.|Classic adventure. Good for history.
JACK-KELLY-SNAKEEATER: Jack Kelly Snakeeater.|Lorenzo Lamas. Snakeeater. The trilogy is something.
JACK-O-LANTERN-YANKEE-DOODLE: Jack O Lantern Yankee Doodle.|Halloween and patriotism. Interesting combo.
JACKNIFE: Jacknife.|Robert De Niro. Vietnam drama. Very strong.
JAGUAR-LIVES: Jaguar Lives.|Joe Lewis. Karate film. Actually decent.
JETLAG: Jetlag.|Never heard of that one.
JIM-HENSONS-JACK-AND-THE-BEANSTALK-THE-REAL-STORY: Jim Hensons Jack And The Beanstalk The Real Story.|Muppet-adjacent Jack and the Beanstalk.
JIM-KELLY-AS-THE-BLACK-SAMURAI: Jim Kelly As The Black Samurai.|Jim Kelly post-Enter the Dragon. Underused talent.
JOANIE-BARTELS-SIMPLY-MAGIC-THE-SUBSTITUTE-TEACHER: Joanie Bartels Simply Magic The Substitute Teacher.|Kids music stuff.
JOHNNY-HANDSOME-MICKEY-ROURKE-IVE: Johnny Handsome Mickey Rourke Ive.|Walter Hill. Mickey Rourke. Underrated crime film.
JOHNNY-MYSTO-BOY-WIZARD: Johnny Mysto Boy Wizard.|Kid magician. Taylor Momsen before she was famous.
JUNGLE-FUN-VOLUME-NINE-LITTLE-BLACK-SAMBO-JUNGLE-JITTERS-HENRY-JUNGLE-DRUMS: Jungle Fun Volume Nine Little Black Sambo Jungle Jitters Henry Jungle Drums.|Old cartoons. Very old.
JUNGLE-RAIDERS: Jungle Raiders.|Adventure stuff. Italian production.
KANTOU: Kantou.|Japanese gangster film. Probably.
KARATE-BREAKERS: Karate Breakers.|Karate. Breaking things. Straightforward.
KARATE-CHAMP-2: Karate Champ 2.|Based on the arcade game. Kind of.
KARATE-STORY: Karate Story.|Everyone's got a karate story.
KARATE-WARS: Karate Wars.|War of the karatekas.
KATHIE-LEES-ROCK-N-ROLL-CAFE-A-CHRISTMAS-GIFT: Kathie Lees Rock N Roll Cafe A Christmas Gift.|Kathie Lee Gifford. Christmas. Sure.
KATY-AND-THE-KATERPILLAR-KIDS: Katy And The Katerpillar Kids.|Kids thing. Caterpillar theme.
KEEPING-TRACK: Keeping Track.|Thriller. Never heard of it.
KEY-THE-METAL-IDOL: Key The Metal Idol.|Anime. Dark and strange. Not for kids.
KICKBOXER: Kickboxer.|Van Damme. Great villain. Great training montage.
KICKS: Kicks.|Street gang stuff. Earnest.
KIDSONGS-A-DAY-AT-THE-CIRCUS: Kidsongs A Day At The Circus.|Circus songs for children.
KILL-CASTRO: Kill Castro.|Anti-Castro action film. Very Cold War.
KILLING-MACHINE-SYBIL-DANNINGS-ADVENTURE-VIDEO: Killing Machine Sybil Dannings Adventure Video.|Sybil Danning curates this herself. Respect.
KILLPOINT: Killpoint.|Martial arts crime. Low budget but fun.
KISS-MEETS-THE-PHANTOM-OF-THE-PARK: Kiss Meets The Phantom Of The Park.|KISS fights a robot army. This actually happened.
KISSYFUR-BEAR-ROOTS-SPECIAL: Kissyfur Bear Roots Special.|Bear cartoon. Pretty sweet actually.
KNIGHTRIDERS: Knightriders.|George Romero medieval motorcycle jousting. Only he could make that.
KNIGHTS-OF-THE-CITY: Knights Of The City.|Street gang breakdancing musical. The eighties were incredible.
KOMMANDO-INVASION: Kommando Invasion.|War action. Never heard of it specifically.
KRAA-THE-SEA-MONSTER-FAMILY: Kraa The Sea Monster Family.|Shot on video monster movie. Family Home Entertainment.
KRULL-JAPAN: Krull Japan.|Krull. Japanese release. Fantasy classic. Underrated.
LA-LEGGENDA-DEL-RUBINO-MALESE: La Leggenda Del Rubino Malese.|Italian adventure. Something about a ruby.
LAND-OF-DOOM-JAPAN: Land Of Doom Japan.|Post-apocalypse. Japanese release.
LAND-OF-THE-MINOTAURS: Land Of The Minotaurs.|Greek mythology action.
LASERBLAST: Laserblast.|Kid with a laser cannon arm. MST3K fodder. Lovable.
LAST-PLATOON: Last Platoon.|Vietnam action. Italian production.
LAW-OF-THE-LAND-DON-JOHNSON: Law Of The Land Don Johnson.|Don Johnson before Miami Vice.
LE-SICILIEN: Le Sicilien.|French-Italian crime. Alain Delon. Stylish.
LEGION-OF-DEATH: Legion Of Death.|Horror action. Never heard of it.
LEPKE: Lepke.|Tony Curtis as Lepke Buchalter. Crime history.
LIFE-WITH-LOUIE-THE-MASKED-CHESS-BOY: Life With Louie The Masked Chess Boy.|Louie Anderson's cartoon. Oddly wholesome.
LIGHTBLAST: Lightblast.|Erik Estrada again. Laser beams this time.
LIGHTNING-THE-WHITE-STALLION: Lightning The White Stallion.|Mickey Rooney. Horse movie. For the horse people.
LITTLE-BEAR-RAINY-DAY-TALES: Little Bear Rainy Day Tales.|Maurice Sendak. Quiet and gentle.
LITTLE-MARINES-AN-ADVENTURE: Little Marines An Adventure.|Kids playing soldiers. Pretty innocent.
LORDS-OF-THE-RING-SUPERSTARS-AND-SUPERBOUTS: Lords Of The Ring Superstars And Superbouts.|Wrestling highlights comp.
LOW-BLOW: Low Blow.|That's a fighter who doesn't play fair.
LUPINE-WOLF-LONE-WOLF-WITH-CUB: Lupine Wolf Lone Wolf With Cub.|Lone Wolf and Cub. Samurai classic.
MACGYVER: Macgyver.|MacGyver. The man solves everything with tape and a paperclip.
MACGYVER-2: Macgyver 2.|More MacGyver. More tape.
MACHISMO: Machismo.|Spaghetti western. Good title.
MAD-MAX-2: Mad Max 2.|The Road Warrior. One of the best sequels ever made.
MADBALLS-ESCAPE-FROM-ORB: Madballs Escape From Orb.|Madballs cartoon. Gross toys turned into a show.
MAGIC-KID: Magic Kid.|Karate kid for kids. Pretty harmless.
MAGIC-OF-THE-NINJA-AND-SEARCH-OF-THE-NINJA: Magic Of The Ninja And Search Of The Ninja.|Double ninja feature. Efficient.
MAN-BITES-DOG: Man Bites Dog.|Belgian mockumentary. Deeply unsettling. Art film.
MAN-EATER-BURT-REYNOLDS: Man Eater Burt Reynolds.|Burt Reynolds. Something's eating people.
MAN-HUNT: Man Hunt.|Classic Fritz Lang. Essential noir.
MAN-ON-FIRE: Man On Fire.|Scott Glenn. Denzel Washington later remade it.
MANDEN-DE-KALDTE-GHOST: Manden De Kaldte Ghost.|Danish film. Never heard of it.
MANIAC-WARRIORS: Maniac Warriors.|Post-apocalypse stuff. Never heard of this specific one.
MAPLE-TOWN-THE-CASE-OF-THE-MISSING-CANDY-FHE-FAMILY-HOME-ENTERTAINMENT: Maple Town The Case Of The Missing Candy Fhe Family Home Entertainment.|Animal town cartoon. Wholesome.
Marsupilami-Marsuper-Duper: Marsupilami Marsuper Duper.|Marsupilami cartoon. French character. Nice show.
MARVEL-MATINEE-3-SUPER-HERO-ADVENTURES: Marvel Matinee 3 Super Hero Adventures.|Old Marvel cartoons. The weird ones.
MARY-RICE-HOPKINS-UNIQUELY-HIS: Mary Rice Hopkins Uniquely His.|Christian music for kids.
MASSACRE-AT-FORT-HOLMAN: Massacre At Fort Holman.|Spaghetti western. Reason to Survive in Italy.
MASTER-CLASS-SELF-DEFENCE-FOR-WOMEN-WITH-STEVE-POWELL: Master Class Self Defence For Women With Steve Powell.|Self-defense instruction. Practical.
MASTERING-THE-BROADSWORD-STARRING-MASTER-ERIC-LEE: Mastering The Broadsword Starring Master Eric Lee.|Eric Lee teaches the broadsword. Committed.
MASTERING-THE-DEADLIFT-PANTHER-PRODUCTIONS: Mastering The Deadlift Panther Productions.|Powerlifting instruction. Specific clientele.
MASTERS-OF-THE-UNIVERSE: Masters Of The Universe.|He-Man movie. Dolph Lundgren. Courteney Cox. Strange film.
MASTERS-OF-THE-UNIVERSE-A-GOLDEN-BOOK-VIDEO: Masters Of The Universe A Golden Book Video.|He-Man for the very young.
MATILDA: Matilda.|Roald Dahl. Danny DeVito directed it. Great film.
MAXIMUM-RISK: Maximum Risk.|Van Damme plays twins. More Van Damme.
MAZES-_-MONSTERS-TOM-HANKS: Mazes _ Monsters Tom Hanks.|Tom Hanks early career. D&D moral panic film.
MC-BAIN: Mc Bain.|Christopher Walken. Rescue mission. Dumb but committed.
MCGEE-AND-ME-TAKE-ME-OUT-TO-THE-BALL-GAME: Mcgee And Me Take Me Out To The Ball Game.|Christian kids show. McGee and his cartoon friend.
MENSAGEIRO-DA-MORTE: Mensageiro Da Morte.|Portuguese. Messenger of Death. Bronson film.
MERCHANTS-OF-WAR: Merchants Of War.|Mercenary stuff. Pretty obscure.
MERRY-CHRISTMAS-VIDEO-GREETING-CARD: Merry Christmas Video Greeting Card.|A Christmas card. On VHS.
MERRY-MOTHER-GOOSE-RHYMES-AND-STORIES-A-GOLDEN-BOOK-VIDEO: Merry Mother Goose Rhymes And Stories A Golden Book Video.|Nursery rhymes for kids.
MESSENGER-OF-DEATH: Messenger Of Death.|Bronson again. Mormons and revenge.
MIAMI-HORROR: Miami Horror.|Italian horror set in Miami. Synth soundtrack.
MICKEY-MOUSE-COLLECTORS-EDITION-ORIGINAL-BLACK-AND-WHITE-ANIMATION: Mickey Mouse Collectors Edition Original Black And White Animation.|Original Mickey cartoons. Black and white. Rare stuff.
MIDNIGHT-CROSSING: Midnight Crossing.|Faye Dunaway. Thriller on a boat.
MIGHTY-MORPHIN-POWER-RANGERS-HAPPY-BIRTHDAY-ZACK: Mighty Morphin Power Rangers Happy Birthday Zack.|Power Rangers birthday episode.
MIGHTY-MOUSE-AND-FRIENDS: Mighty Mouse And Friends.|Old Terrytoons. Mighty Mouse is pretty great.
Milk-Cap-Mania-Volume-1: Milk Cap Mania Volume 1.|Pog instructional video. Very 1994.
MIRACLE-MILE: Miracle Mile.|Anthony Edwards. Nuke thriller. Very underrated.
MISSING-IN-ACTION-2-THE-BEGINNING: Missing In Action 2 The Beginning.|Prequel to Missing in Action. Chuck Norris.
MISSION-PHANTOM: Mission Phantom.|Never heard of that one.
MONSTER-EASTER: Monster Easter.|Easter themed monster thing. Interesting concept.
MONSTER-IN-MY-POCKET: Monster In My Pocket.|Toy commercial as a cartoon. The eighties.
MONSTER-SQUAD: Monster Squad.|Kids versus classic monsters. Wolfman's got nards.
MOONRAKER: Moonraker.|Bond in space. A bit much but fun.
MORTAL-CHALLENGE: Mortal Challenge.|Never heard of it.
MOUSERCISE-WALT-DISNEY-HOME-VIDEO: Mousercise Walt Disney Home Video.|Mickey Mouse workout. For kids.
MOVING-TARGETS: Moving Targets.|Australian action thriller. Decent.
MR-T-T-AND-T: Mr T T And T.|Mr. T teaching kids lessons. One T for each lesson.
MR-TS-BE-SOMEBODY-OR-BE-SOMEBODYS-FOOL: Mr Ts Be Somebody Or Be Somebodys Fool.|Mr. T's life advice tape. I pity the fool who skips this.
MRCV-DER-KILLERROBOT: Mrcv Der Killerrobot.|German killer robot. Interesting.
MS-45: Ms 45.|Abel Ferrara revenge film. Intense. Classic exploitation.
MUMMIES-ALIVE: Mummies Alive.|Cartoon about mummy guardians. Nineties Saturday morning.
MUNCHIE: Munchie.|Roger Corman creature feature. Harmless.
MUPPET-FAMILY-CHRISTMAS: Muppet Family Christmas.|All the Muppets. And Sesame Street. And the Fraggles. In one special.
MUTANT-HUNT-2: Mutant Hunt 2.|Robots hunting mutants or mutants hunting robots. Probably both.
MY-BIBLE-FRIENDS-BY-ETTA-B-DEGERING-VOLUME-2: My Bible Friends By Etta B Degering Volume 2.|Biblical stories for children.
MY-HOME-COMMANDO: My Home Commando.|Never heard of that one.
MY-PET-MONSTER-A-GOLDEN-BOOK-VIDEO: My Pet Monster A Golden Book Video.|My Pet Monster. The toy was popular.
MY-PET-MONSTER-A-LIVE-ACTION-VIDEO-CASSETTE: My Pet Monster A Live Action Video Cassette.|Live action version. Rare to see both.
MY-PET-MONSTER-CARTOON-VOLUME-9-MONSTER-MAKES-THE-GRADE: My Pet Monster Cartoon Volume 9 Monster Makes The Grade.|Volume nine. They committed.
MY-SCIENCE-PROJECT: My Science Project.|John Stockwell. Time machine at a school. Fun.
MY-SIDE-OF-THE-MOUNTAIN: My Side Of The Mountain.|Jean Craighead George adaptation. Boy survives alone. Good.
MY-UNCLE-THE-ALIEN: My Uncle The Alien.|Kid has an alien uncle. Sure.
MYSTERY-MONSTERS: Mystery Monsters.|Monster stuff. Vague title.
